Title,Publish date,Category,Associated project name,Link to item,Type,Link to project page,Year,Project Status,pdf_url,local_path,status
Brighte ' Electrify 2515 Community Pilot - Lessons Learnt Report 1,13/01/2025,Demand response,Brighte - Electrify 2515 Community Pilot,https://arena.gov.au/knowledge-bank/brighte-electrify-2515-community-pilot-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/electrify-2515-brighte-research-testbed-of-community-electrification-at-scale/,2024,Current,https://arena.gov.au/assets/2025/01/Brighte-–-Electrify-2515-Community-Pilot-Lessons-Learnt-Report-1.pdf,pdfs/Reports_Lessons/Brighte_'_Electrify_2515_Community_Pilot_-_Lessons_Learnt_Report_1_98717a.pdf,downloaded
Yolarno ' Feasibility Study into Resource Recovery Facility - Study Report,13/01/2025,,Yolarno - Feasibility Study into Resource Recovery Facility,https://arena.gov.au/knowledge-bank/yolarno-feasibility-study-into-resource-recovery-facility-study-report/,Reports,https://arena.gov.au/projects/yolarno-feasibility-study-into-resource-recovery-facility/,2024,Past,https://arena.gov.au/assets/2025/01/Yolarno-–-Feasibility-Study-into-Resource-Recovery-Facility-Study-Report.pdf,pdfs/Reports/Yolarno_'_Feasibility_Study_into_Resource_Recovery_Facility_-_Study_Report_043495.pdf,downloaded
GWMWater ' Feasibility Study into Energy Optimisation of Water Network - Lessons Learnt Report,13/01/2025,"Demand response, Distributed energy resources, Renewables for industry",GWMWater - Feasibility Study into Energy Optimisation of Water Network,https://arena.gov.au/knowledge-bank/gwmwater-feasibility-study-into-energy-optimisation-of-water-network-lessons-learnt-report/,"Reports, Lessons",https://arena.gov.au/projects/gwmwater-feasibility-study-into-energy-optimisation-of-water-network/,2023,Past,https://arena.gov.au/assets/2025/01/GWMWater-–-Feasibility-Study-into-Energy-Optimisation-of-Water-Network-Lessons-Learnt-Report-2024.pdf,pdfs/Reports_Lessons/GWMWater_'_Feasibility_Study_into_Energy_Optimisation_of_Water_Network_-_Lessons_Learnt_Report_18ce4b.pdf,downloaded
Glaciem - PCM Thermal Energy Storage Project - Lessons Learnt Report 3,6/01/2025,Renewables for industry,Advancing Renewables with PCM Thermal Energy Storage,https://arena.gov.au/knowledge-bank/glaciem-pcm-thermal-energy-storage-project-lessons-learnt-report-3/,"Reports, Lessons",https://arena.gov.au/projects/advancing-renewables-with-pcm-thermal-energy-storage/,2019,Past,https://arena.gov.au/assets/2025/01/Glaciem-PCM-Thermal-Energy-Storage-Project-Lessons-Learnt-Report-3.pdf,pdfs/Reports_Lessons/Glaciem_-_PCM_Thermal_Energy_Storage_Project_-_Lessons_Learnt_Report_3_7a0ff3.pdf,downloaded
Glaciem - PCM Thermal Energy Storage Project - Lessons Learnt Report 2,6/01/2025,Renewables for industry,Advancing Renewables with PCM Thermal Energy Storage,https://arena.gov.au/knowledge-bank/glaciem-pcm-thermal-energy-storage-project-lessons-learnt-report-2/,"Reports, Lessons",https://arena.gov.au/projects/advancing-renewables-with-pcm-thermal-energy-storage/,2019,Past,https://arena.gov.au/assets/2025/01/Glaciem-PCM-Thermal-Energy-Storage-Project-Lessons-Learnt-Report-2.pdf,pdfs/Reports_Lessons/Glaciem_-_PCM_Thermal_Energy_Storage_Project_-_Lessons_Learnt_Report_2_8f4c1e.pdf,downloaded
Glaciem - PCM Thermal Energy Storage Project - Case Study Report,6/01/2025,Renewables for industry,Advancing Renewables with PCM Thermal Energy Storage,https://arena.gov.au/knowledge-bank/glaciem-pcm-thermal-energy-storage-project-case-study-report/,Reports,https://arena.gov.au/projects/advancing-renewables-with-pcm-thermal-energy-storage/,2019,Past,https://arena.gov.au/assets/2025/01/Glaciem-PCM-Thermal-Energy-Storage-Project-Case-Study.pdf,pdfs/Reports/Glaciem_-_PCM_Thermal_Energy_Storage_Project_-_Case_Study_Report_6a155f.pdf,downloaded
Glaciem - PCM Thermal Energy Storage Project - Final Report,6/01/2025,Renewables for industry,Advancing Renewables with PCM Thermal Energy Storage,https://arena.gov.au/knowledge-bank/glaciem-pcm-thermal-energy-storage-project-final-report/,Reports,https://arena.gov.au/projects/advancing-renewables-with-pcm-thermal-energy-storage/,2019,Past,https://arena.gov.au/assets/2025/01/Glaciem-PCM-Thermal-Energy-Storage-Project-Final-Report.pdf,pdfs/Reports/Glaciem_-_PCM_Thermal_Energy_Storage_Project_-_Final_Report_d2f8f1.pdf,downloaded
RayGen - Solar Power Plant Demonstration Project - Deployment and Manufacturing Lessons Learnt Report,24/12/2024,"Concentrated solar thermal, Solar energy",RayGen Solar Power Plant Demonstration,https://arena.gov.au/knowledge-bank/raygen-solar-power-plant-demonstration-project-deployment-and-manufacturing-lessons-learnt-report/,"Reports, Lessons",https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,2021,Past,https://arena.gov.au/assets/2024/12/RayGen-Solar-Power-Plant-Demonstration-Project-Deployment-and-Manufacturing-Lessons-Learnt-Report.pdf,pdfs/Reports_Lessons/RayGen_-_Solar_Power_Plant_Demonstration_Project_-_Deployment_and_Manufacturing_Lessons_Learnt_Report_ee2a8e.pdf,downloaded
Mirvac - Net Zero Energy Homes - Milestone 3 Knowledge Sharing Report,23/12/2024,Renewables in buildings,Mirvac Net Zero Energy Homes,https://arena.gov.au/knowledge-bank/mirvac-net-zero-energy-homes-final-lessons-learned-report/,"Reports, Lessons",https://arena.gov.au/projects/net-zero-energy-homes/,2019,Past,https://arena.gov.au/assets/2025/01/Mirvac-Net-Zero-Energy-Homes-Milestone-3-Knowledge-Sharing-Report.pdf,pdfs/Reports_Lessons/Mirvac_-_Net_Zero_Energy_Homes_-_Milestone_3_Knowledge_Sharing_Report_d1e7d7.pdf,downloaded
RayGen - Solar Power Plant Demonstration Project - Commercialisation Report,23/12/2024,"Concentrated solar thermal, Solar energy",RayGen Solar Power Plant Demonstration,https://arena.gov.au/knowledge-bank/raygen-solar-power-plant-demonstration-project-commercialisation-report/,Reports,https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,2021,Past,https://arena.gov.au/assets/2024/12/RayGen-Solar-Power-Plant-Demonstration-Project-Commercialisation-Report.pdf,pdfs/Reports/RayGen_-_Solar_Power_Plant_Demonstration_Project_-_Commercialisation_Report_79ab18.pdf,downloaded
RayGen - Solar Power Plant Demonstration Project - Development Report,23/12/2024,"Concentrated solar thermal, Solar energy",RayGen Solar Power Plant Demonstration,https://arena.gov.au/knowledge-bank/raygen-solar-power-plant-demonstration-project-development-report/,Reports,https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,2021,Past,https://arena.gov.au/assets/2024/12/RayGen-Solar-Power-Plant-Demonstration-Project-Development-Report.pdf,pdfs/Reports/RayGen_-_Solar_Power_Plant_Demonstration_Project_-_Development_Report_b59c9e.pdf,downloaded
RayGen - Solar Power Plant Demonstration Project - Manufacturing Report,23/12/2024,"Concentrated solar thermal, Solar energy",RayGen Solar Power Plant Demonstration,https://arena.gov.au/knowledge-bank/raygen-solar-power-plant-demonstration-project-manufacturing-report/,Reports,https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,2021,Past,https://arena.gov.au/assets/2024/12/RayGen-Solar-Power-Plant-Demonstration-Project-Manufacturing-Report.pdf,pdfs/Reports/RayGen_-_Solar_Power_Plant_Demonstration_Project_-_Manufacturing_Report_de21a9.pdf,downloaded
Neoen - Blyth Big Battery Deployment Project - Development Report Milestone 2,23/12/2024,"Battery storage, System security and reliability",Neoen Big Battery (Blyth) Deployment Project,https://arena.gov.au/knowledge-bank/neoen-blyth-big-battery-deployment-project-development-report-milestone-2/,"Reports, Milestones",https://arena.gov.au/projects/neoen-big-battery-blyth-deployment-project/,2023,Current,https://arena.gov.au/assets/2024/12/Neoen-Blyth-South-Australia-BESS-Development-Report.pdf,pdfs/Reports_Milestones/Neoen_-_Blyth_Big_Battery_Deployment_Project_-_Development_Report_Milestone_2_a6329d.pdf,downloaded
Neoen - Western Downs BESS Deployment - Development Report Milestone 2,23/12/2024,"Battery storage, System security and reliability",Neoen Big Battery (Western Downs) Deployment Project,https://arena.gov.au/knowledge-bank/neoen-western-downs-bess-deployment-development-report-milestone-2/,Reports,https://arena.gov.au/projects/neoen-big-battery-western-downs-deployment-project/,2023,Current,https://arena.gov.au/assets/2024/12/Neoen-Western-Downs-BESS-Deployment-Development-Report.pdf,pdfs/Reports/Neoen_-_Western_Downs_BESS_Deployment_-_Development_Report_Milestone_2_daa7d6.pdf,downloaded
Neoen - Blyth Big Battery Deployment Project - Lessons Learnt Report No.1,18/12/2024,"Battery storage, System security and reliability",Neoen Big Battery (Blyth) Deployment Project,https://arena.gov.au/knowledge-bank/neoen-blyth-big-battery-deployment-project-lessons-learnt-report-no-1/,"Reports, Lessons",https://arena.gov.au/projects/neoen-big-battery-blyth-deployment-project/,2023,Current,https://arena.gov.au/assets/2024/12/Neoen-Blyth-Big-Battery-Deployment-Project-Lessons-Learnt-Report-No.1.pdf,pdfs/Reports_Lessons/Neoen_-_Blyth_Big_Battery_Deployment_Project_-_Lessons_Learnt_Report_No.1_cf5df9.pdf,downloaded
UNSW - Rear-Junction p-type PERC/TOPCon Hybrid Solar Cells (RJ-PERP) - Interim Public Dissemination Report,18/12/2024,"Solar energy, Solar PV R&amp;D",Rear-Junction P-Type PERC/TOPCon Hybrid Solar Cells (RJ-PERP) Project,https://arena.gov.au/knowledge-bank/unsw-rear-junction-p-type-perc-topcon-hybrid-solar-cells-rj-perp-interim-public-dissemination-report/,Reports,https://arena.gov.au/projects/rear-junction-p-type-perc-topcon-hybrid-solar-cells-rj-perp-project/,2022,Current,https://arena.gov.au/assets/2025/01/Rear-Junction-p-type-PERC-and-TOPCon-Hybrid-Solar-Cells-UNSW-R-and-D-Interim-Report.pdf,pdfs/Reports/UNSW_-_Rear-Junction_p-type_PERC_TOPCon_Hybrid_Solar_Cells_(RJ-PERP)_-_Interim_Public_Dissemination_Report_fee367.pdf,downloaded
Origin Energy Mortlake Power Station Battery - Lessons Learnt Report No. 2,18/12/2024,Battery storage,Origin Energy Mortlake Power Station Battery,https://arena.gov.au/knowledge-bank/origin-energy-mortlake-power-station-battery-lessons-learnt-report-2/,"Reports, Lessons",https://arena.gov.au/projects/origin-energy-mortlake-power-station-battery/,2024,Current,https://arena.gov.au/assets/2024/12/Origin-Energy-Mortlake-Power-Station-Battery-Lessons-Learnt-Report-2.pdf,pdfs/Reports_Lessons/Origin_Energy_Mortlake_Power_Station_Battery_-_Lessons_Learnt_Report_No._2_793af6.pdf,downloaded
TGE - Depot of the Future - Change Management Report 2,18/12/2024,Electric vehicles,Depot of the Future Vehicle Electrification Project,https://arena.gov.au/knowledge-bank/tge-depot-of-the-future-change-management-report-2/,Reports,https://arena.gov.au/projects/depot-of-the-future-vehicle-electrification-project/,2022,Current,https://arena.gov.au/assets/2024/12/TGE-Depot-of-the-Future-Change-Management-Report-2.pdf,pdfs/Reports/TGE_-_Depot_of_the_Future_-_Change_Management_Report_2_0e9d2f.pdf,downloaded
ARENA Insights Newsletter Edition #60,17/12/2024,,,https://arena.gov.au/knowledge-bank/arena-insights-newsletter-edition-60/,InsightNewsletter,,,,,,no_pdf_found
Accelerating the Local Government Transition to BEVs in Western Australia - Lessons Learnt Report 1,17/12/2024,Electric vehicles,Accelerating the Local Government Transition to BEVs in Western Australia,https://arena.gov.au/knowledge-bank/accelerating-the-local-government-transition-to-bevs-in-western-australia-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/accelerating-the-local-government-transition-to-bevs-in-western-australia/,2024,Current,https://arena.gov.au/assets/2024/12/WALGA-Accelerating-the-Local-Government-Transition-to-BEVs-in-Western-Australia-Lessons-Learnt-Report-1.pdf,pdfs/Reports_Lessons/Accelerating_the_Local_Government_Transition_to_BEVs_in_Western_Australia_-_Lessons_Learnt_Report_1_24def0.pdf,downloaded
Flexible Hot Water Webinar,16/12/2024,Demand response,,https://arena.gov.au/knowledge-bank/flexible-hot-water-webinar/,Insights,,,,https://arena.gov.au/assets/2024/12/ARENA-Flexible-Demand-Webinar-2024-Hot-water-learnings-and-opportunities.pdf,pdfs/Insights/Flexible_Hot_Water_Webinar_567ea9.pdf,downloaded
ARENA Insights ' Driving the Nation Program - Focus Area Webinar,9/12/2024,Electric vehicles,,https://arena.gov.au/knowledge-bank/arena-insights-driving-the-nation-program-focus-area-webinar/,Insights,,,,https://arena.gov.au/assets/2024/12/Driving-the-Nation_New-Focus-Area-Launch_Webinar.pdf,pdfs/Insights/ARENA_Insights_'_Driving_the_Nation_Program_-_Focus_Area_Webinar_8a7508.pdf,downloaded
UNSW - Daytime Inspection Solutions for Advanced Operation and Maintenance of Solar Farms - R&D Interim Report,9/12/2024,"Solar energy, Solar PV R&amp;D",Daytime Inspection Solutions for Advanced Operation & Solar Farm Maintenance,https://arena.gov.au/knowledge-bank/unsw-daytime-inspection-solutions-for-advanced-operation-and-maintenance-of-solar-farms-rd-interim-report/,Reports,https://arena.gov.au/projects/daytime-inspection-solutions-for-advanced-operation-solar-farm-maintenance/,2022,Current,https://arena.gov.au/assets/2024/12/UNSW-Daytime-Inspection-Solutions-for-Advanced-Operation-and-Maintenance-of-Solar-Farms-Intermin-Report-1.pdf,pdfs/Reports/UNSW_-_Daytime_Inspection_Solutions_for_Advanced_Operation_and_Maintenance_of_Solar_Farms_-_R&D_Interim_Report_d4f48a.pdf,downloaded
Project SHIELD - Final Knowledge Sharing Report,9/12/2024,Distributed energy resources,Project SHIELD - Synchronising Heterogeneous Information to Evaluate Limits for DNSP,https://arena.gov.au/knowledge-bank/project-shield-final-knowledge-sharing-report/,Reports,https://arena.gov.au/projects/project-shield/,2020,Past,https://arena.gov.au/assets/2024/12/SHIELD-Final-Report.pdf,pdfs/Reports/Project_SHIELD_-_Final_Knowledge_Sharing_Report_b1160f.pdf,downloaded
Project SHIELD - Consolidated Analysis Report,9/12/2024,Distributed energy resources,Project SHIELD - Synchronising Heterogeneous Information to Evaluate Limits for DNSP,https://arena.gov.au/knowledge-bank/project-shield-consolidated-analysis-report/,Reports,https://arena.gov.au/projects/project-shield/,2020,Past,https://arena.gov.au/assets/2024/12/SHIELD-Consolidated-Analysis-Report.pdf,pdfs/Reports/Project_SHIELD_-_Consolidated_Analysis_Report_1ea16a.pdf,downloaded
NRMA - National EV Charging Infrastructure Program - Lessons Learnt Report,4/12/2024,Electric vehicles,NRMA - Future Fuels Public Fast Charging,https://arena.gov.au/knowledge-bank/nrma-national-ev-charging-infrastructure-program-lessons-learnt-report/,"Reports, Lessons",https://arena.gov.au/projects/chargefox-future-fuels-public-fast-charging-project/,2021,Past,https://arena.gov.au/assets/2024/12/Chargefox-Electric-Vehicle-Charging-Network-Lessons-Learnt-Report-5.pdf,pdfs/Reports_Lessons/NRMA_-_National_EV_Charging_Infrastructure_Program_-_Lessons_Learnt_Report_987a53.pdf,downloaded
Patrick Terminals - BEV Terminal Trucks at Fremantle Port - Lessons Learnt Report 2,4/12/2024,Electric vehicles,Patrick Terminals - BEV Terminal Trucks at Fremantle Port,https://arena.gov.au/knowledge-bank/patrick-terminals-bev-terminal-trucks-at-fremantle-port-lessons-learnt-report-2/,"Reports, Lessons",https://arena.gov.au/projects/patrick-terminals-bev-terminal-trucks-at-fremantle-port/,2023,Current,https://arena.gov.au/assets/2024/12/Patrick-Terminals-BEV-Terminal-Trucks-at-the-Port-of-Fremantle-Lessons-Learnt-Report-2.pdf,pdfs/Reports_Lessons/Patrick_Terminals_-_BEV_Terminal_Trucks_at_Fremantle_Port_-_Lessons_Learnt_Report_2_d41f64.pdf,downloaded
Intellihub - Street Power Pole EV Charger with Grid Integration - Lessons Learnt Report 3,3/12/2024,Renewables for industry,Intellihub Street Power Pole EV Charger with Grid Integration,https://arena.gov.au/knowledge-bank/intellihub-street-power-pole-ev-charger-with-grid-integration-lessons-learnt-report-3/,"Reports, Lessons",https://arena.gov.au/projects/intellihub-street-power-pole-ev-charger-with-grid-integration/,2021,Past,https://arena.gov.au/assets/2024/12/Intellihub-Intellihub-Street-Power-Pole-EV-Charger-with-Grid-Integration-Lessons-Learnt-Report-3.pdf,pdfs/Reports_Lessons/Intellihub_-_Street_Power_Pole_EV_Charger_with_Grid_Integration_-_Lessons_Learnt_Report_3_75dbc4.pdf,downloaded
Lochard Energy H2RESTORE Feasibility Study - Macro-economic Analysis of Underground Hydrogen Storage,3/12/2024,Hydrogen energy,Lochard Energy H2RESTORE Feasibility Study,https://arena.gov.au/knowledge-bank/lochard-energy-h2restore-feasibility-study-macro-economic-analysis-of-underground-hydrogen-storage/,Reports,https://arena.gov.au/projects/lochard-energy-h2restore-feasibility-study/,2024,Past,https://arena.gov.au/assets/2024/12/Lochard-Energy-H2RESTORE-Feasibility-Study-Public-Report.pdf,pdfs/Reports/Lochard_Energy_H2RESTORE_Feasibility_Study_-_Macro-economic_Analysis_of_Underground_Hydrogen_Storage_971462.pdf,downloaded
ATCO Scale H2 Feasibility Study - Market Study Report,3/12/2024,Hydrogen energy,ATCO - Scale H2 Feasibility Study,https://arena.gov.au/knowledge-bank/atco-scale-h2-feasibility-study-market-study-report/,Reports,https://arena.gov.au/projects/atco-scale-h2-feasibility-study/,2023,Current,https://arena.gov.au/assets/2024/12/ATCO-Scale-H2-Feasibility-Study-Market-Study-Report.pdf,pdfs/Reports/ATCO_Scale_H2_Feasibility_Study_-_Market_Study_Report_f2b202.pdf,downloaded
ARENA Insights ' Hot Decarbonisation Webinar: Renewable Heat and Energy Efficiency at Industrial Facilities,3/12/2024,Renewables for industry,,https://arena.gov.au/knowledge-bank/hot-decarbonisation-webinar-renewable-heat-and-energy-efficiency-at-industrial-facilities/,Insights,,,,https://arena.gov.au/assets/2024/11/National-Industrial-Transformation-Program-ARENA-Industrial-Webinar-2024-Hot-Decarbonisation-Opportunities.pdf,pdfs/Insights/ARENA_Insights_'_Hot_Decarbonisation_Webinar__Renewable_Heat_and_Energy_Efficiency_at_Industrial_Facilities_ed5f97.pdf,downloaded
Hysata 'Capillary-fed&rsquo; Electrolyser Commercial-Scale Demonstration Project - Lessons Learnt Report,29/11/2024,Hydrogen energy,Hysata Capillary-fed’ Electrolyser Commercial-Scale Demonstration Project,https://arena.gov.au/knowledge-bank/hysata-capillary-fed-electrolyser-commercial-scale-demonstration-project-lessons-learnt-report/,"Reports, Lessons",https://arena.gov.au/projects/hysata-capillary-fed-electrolyser-commercial-scale-demonstration-project/,2023,Current,https://arena.gov.au/assets/2024/11/Hysata_Capillary-fed-Electrolyser-Commercial-Scale-Demonstration-Project-Lessons-Learnt-Report.pdf,pdfs/Reports_Lessons/Hysata_'Capillary-fed&rsquo;_Electrolyser_Commercial-Scale_Demonstration_Project_-_Lessons_Learnt_Report_9dfcdd.pdf,downloaded
ARENA Insights Newsletter Edition #59,29/11/2024,,,https://arena.gov.au/knowledge-bank/arena-insights-newsletter-edition-59/,InsightNewsletter,,,,,,no_pdf_found
Rio Tinto and Sumitomo - Yarwun Hydrogen Calcination Pilot Demonstration Program - Lessons Learnt Report 2,29/11/2024,Hydrogen energy,Yarwun Hydrogen Calcination Pilot Demonstration Program,https://arena.gov.au/knowledge-bank/rio-tinto-and-sumitomo-yarwun-hydrogen-calcination-pilot-demonstration-program-lessons-learnt-report-2/,"Reports, Lessons",https://arena.gov.au/projects/yarwun-hydrogen-calcination-pilot-demonstration-program/,2023,Current,https://arena.gov.au/assets/2024/11/Rio-Tinto-and-Sumitomo-Yarwun-Hydrogen-Calcination-Pilot-Demonstration-Program-Lessons-Learnt-Report-2.pdf,pdfs/Reports_Lessons/Rio_Tinto_and_Sumitomo_-_Yarwun_Hydrogen_Calcination_Pilot_Demonstration_Program_-_Lessons_Learnt_Report_2_4ae6b9.pdf,downloaded
AEMO - Accelerating the Engineering Roadmap - Milestone 1 Publications report,29/11/2024,System security and reliability,AEMO - Accelerating the Engineering Roadmap,https://arena.gov.au/knowledge-bank/aemo-accelerating-the-engineering-roadmap-milestone-1-publications-report/,Reports,https://arena.gov.au/projects/aemo-accelerating-the-engineering-roadmap/,2024,Past,https://arena.gov.au/assets/2024/11/AEMO-Accelerating-the-Engineering-Roadmap-Milestone-1-Publications-report.pdf,pdfs/Reports/AEMO_-_Accelerating_the_Engineering_Roadmap_-_Milestone_1_Publications_report_646211.pdf,downloaded
Commercialising Si Perovskite Tandem in Australia - USYD - R&D Interim Report,29/11/2024,"Solar energy, Solar PV R&amp;D",Commercialising Si Perovskite Tandem in Australia,https://arena.gov.au/knowledge-bank/usyd-commercialising-si-perovskite-tandem-in-australia-rd-interim-report/,Reports,https://arena.gov.au/projects/commercialising-si-perovskite-tandem-in-australia/,2022,Current,https://arena.gov.au/assets/2024/11/Commercialising-Si-Perovskite-Tandem-in-Australia-USYD-R-and-D-Interim-Report.pdf,pdfs/Reports/Commercialising_Si_Perovskite_Tandem_in_Australia_-_USYD_-_R&D_Interim_Report_45ede7.pdf,downloaded
Hysata High-Efficiency &lsquo;Capillary-fed&rsquo; Electrolyser Pilot Project - Lessons Learnt Report 1,27/11/2024,Hydrogen energy,Hysata - High-Efficiency ‘Capillary-fed’ Electrolyser Pilot Project,https://arena.gov.au/knowledge-bank/hysata-high-efficiency-capillary-fed-electrolyser-pilot-project-lessons-learnt-report/,"Reports, Lessons",https://arena.gov.au/projects/high-efficiency-capillary-fed-electrolyser-pilot-project/,2023,Current,https://arena.gov.au/assets/2024/11/Hysata-High-Efficiency-Capillary-fed-Electrolyser-Pilot-Project-Lesson-Learnt-Report.pdf,pdfs/Reports_Lessons/Hysata_High-Efficiency_&lsquo;Capillary-fed&rsquo;_Electrolyser_Pilot_Project_-_Lessons_Learnt_Report_1_5a28bd.pdf,downloaded
GridWise - Dynamic Model Validation Project - Lessons Learnt 1,27/11/2024,"Solar energy, Solar PV R&amp;D",GridWise - Dynamic Model Validation,https://arena.gov.au/knowledge-bank/gridwise-dynamic-model-validation-project-lessons-learnt-1/,"Reports, Lessons",https://arena.gov.au/projects/gridwise-dynamic-model-validation/,2024,Past,https://arena.gov.au/assets/2024/11/GridWise-Dynamic-Model-Validation-Project-Lessons-Learnt-1.pdf,pdfs/Reports_Lessons/GridWise_-_Dynamic_Model_Validation_Project_-_Lessons_Learnt_1_d8d302.pdf,downloaded
ARENA Insights Forum November 2024 - Accelerating Zero-Emissions Heavy Transport,27/11/2024,Electric vehicles,,https://arena.gov.au/knowledge-bank/arena-insights-forum-accelerating-zero-emissions-heavy-transport/,"Reports, Insights",,,,https://arena.gov.au/assets/2024/11/ARENA-Insights-November-2024-presentations.pdf,pdfs/Reports_Insights/ARENA_Insights_Forum_November_2024_-_Accelerating_Zero-Emissions_Heavy_Transport_2d15e1.pdf,downloaded
Parmelia Green Hydrogen Project Feasibility Study - Summary Report,26/11/2024,Hydrogen energy,Parmelia Green Hydrogen Project Feasibility Study,https://arena.gov.au/knowledge-bank/parmelia-green-hydrogen-project-feasibility-study-summary-report/,Reports,https://arena.gov.au/projects/parmelia-green-hydrogen-project-feasibility-study/,2023,Past,https://arena.gov.au/assets/2024/11/APA-Group-Parmelia-Green-Hydrogen-Project-Feasibility-Study-Summary-Report.pdf,pdfs/Reports/Parmelia_Green_Hydrogen_Project_Feasibility_Study_-_Summary_Report_cdb59d.pdf,downloaded
"SA Power Networks, South Australia, Electrification and Demand Flexibility - Energy Masters - Lessons Learnt Report 1",20/11/2024,Demand response,SA Power Networks - Electrification and Demand Flexibility,https://arena.gov.au/knowledge-bank/sa-power-networks-south-australia-electrification-and-demand-flexibility-energy-masters-lessons-learnt-report-1/,"Reports, Lessons",https://arena.gov.au/projects/sa-power-networks-electrification-and-demand-flexibility/,2024,Current,https://arena.gov.au/assets/2024/11/SA-Power-Networks-Energy-Masters-Lessons-Learnt-Report-1.pdf,"pdfs/Reports_Lessons/SA_Power_Networks,_South_Australia,_Electrification_and_Demand_Flexibility_-_Energy_Masters_-_Lessons_Learnt_Report_1_35eb06.pdf",downloaded
Monash University ' Management of Oscillations in Australia&rsquo;s National Grid ' Milestone 2 Interim Report,19/11/2024,System security and reliability,Monash Grid Oscillation Project (Study and Software Development),https://arena.gov.au/knowledge-bank/monash-university-management-oscillations-australias-national-grid-milestone-2-interim-report/,"Reports, Milestones",https://arena.gov.au/projects/monash-grid-oscillation-project-study-and-software-development/,2023,Past,https://arena.gov.au/assets/2024/11/Monash-University-–-Management-of-Oscillations-in-Australias-National-Grid-–-Impedance-Measurement-Tool-Milestone-2-Interim-Report.pdf,pdfs/Reports_Milestones/Monash_University_'_Management_of_Oscillations_in_Australia&rsquo;s_National_Grid_'_Milestone_2_Interim_Report_f45182.pdf,downloaded
AGL - AGL Broken Hill Grid-Forming Battery - Lessons Learnt Report 2,19/11/2024,"Battery storage, System security and reliability",AGL Broken Hill Grid-Forming Battery,https://arena.gov.au/knowledge-bank/agl-agl-broken-hill-grid-forming-battery-lessons-learnt-report-2/,"Reports, Lessons",https://arena.gov.au/projects/agl-broken-hill-grid-forming-battery/,2021,Past,https://arena.gov.au/assets/2024/11/AGL-AGL-Broken-Hill-Grid-Forming-Battery-Lessons-Learnt-Report-2.pdf,pdfs/Reports_Lessons/AGL_-_AGL_Broken_Hill_Grid-Forming_Battery_-_Lessons_Learnt_Report_2_f832dc.pdf,downloaded
Reactive ' System Inertia Measurement Demonstration ' Lessons Learned Report 3,18/11/2024,System security and reliability,Reactive Technologies - System Inertia Measurement Demonstration,https://arena.gov.au/knowledge-bank/reactive-system-inertia-measurement-demonstration-lessons-learned-report-3/,"Reports, Lessons",https://arena.gov.au/projects/reactive-technologies-system-inertia-measurement-demonstration/,2020,Past,https://arena.gov.au/assets/2024/11/System-Inertia-Measurement-Demonstration-Lessons-Learnt-Report-3.pdf,pdfs/Reports_Lessons/Reactive_'_System_Inertia_Measurement_Demonstration_'_Lessons_Learned_Report_3_a5ef37.pdf,downloaded
PLUS ES ' South Australia Demand Flexibility Trial '  Final Knowledge Sharing Report,13/11/2024,"Demand response, Renewables for industry",PLUS ES South Australia Demand Flexibility Trial,https://arena.gov.au/knowledge-bank/plus-es-south-australia-demand-flexibility-trial-final-knowledge-sharing-report/,Reports,https://arena.gov.au/projects/plus-es-south-australia-demand-flexibility-trial/,2022,Past,https://arena.gov.au/assets/2024/11/PLUS-ES-South-Australia-Demand-Flexibility-Trial-Final-Knowledge-Sharing-Report.pdf,pdfs/Reports/PLUS_ES_'_South_Australia_Demand_Flexibility_Trial_'_Final_Knowledge_Sharing_Report_ee52d8.pdf,downloaded
Community Battery Market Snapshot Report,11/11/2024,Distributed energy resources,,https://arena.gov.au/knowledge-bank/community-battery-market-snapshot-report/,Reports,,,,https://arena.gov.au/assets/2024/11/ARENA-Community-Battery-Market-Snapshop.pdf,pdfs/Reports/Community_Battery_Market_Snapshot_Report_c6811f.pdf,downloaded
United Energy - Low-Voltage Grid Battery Energy Storage Systems - Interim Report,8/11/2024,Battery storage,United Energy Low Voltage Battery Trial,https://arena.gov.au/knowledge-bank/united-energy-low-voltage-grid-battery-energy-storage-systems-interim-report/,Reports,https://arena.gov.au/projects/united-energy-low-voltage-battery-trial/,2021,Past,https://arena.gov.au/assets/2024/11/United-Energy_Low-Voltage-Battery-Trial-Interim-Knowledge-Sharing-report.pdf,pdfs/Reports/United_Energy_-_Low-Voltage_Grid_Battery_Energy_Storage_Systems_-_Interim_Report_58db94.pdf,downloaded
