Project,"Link to project",Category,Summary/Information,"Arena funding provided","Total project value","Lead organisation","Arena program","Start date",Location,"Project partners",Status
"Stanwell Central Queensland Hydrogen Project Feasibility Study",https://arena.gov.au/projects/stanwell-central-queensland-hydrogen-project-feasibility-study/,"Hydrogen energy","The Stanwell Central Queensland Hydrogen Project Feasibility Study will investigate the technical and commercial viability of a proposed green hydrogen export project to be located at Gladstone, Queensland.
",$2.16m,$10.49m,"Stanwell Corporation","Advancing Renewables Program",05/08/2021,"Gladstone, Queensland","APA Group - APT Management Services, Iwatani Corporation, Kansai Electric Power Company (KEPCO), Kawasaki Heavy Industries, Marubeni Corporation, The Japanese Ministry of Economy, Trade and Industry (METI)",Past
"AEMO Connections Tool Project",https://arena.gov.au/projects/aemo-connections-tool-project/,"System security and reliability","This project will leverage a new high-speed simulator that AEMO is currently developing to implement a Next Generation Connections Tool (the Connections Tool).
",$2.22m,$4.26m,AEMO,"Advancing Renewables Program",29/07/2021,"New South Wales, Sydney",None,Past
"Western Australia Distributed Energy Resources Orchestration Pilot (Project Symphony)",https://arena.gov.au/projects/western-australia-distributed-energy-resources-orchestration-pilot/,"Distributed energy resources","The Western Australia Distributed Energy Resources Orchestration Pilot is piloting the orchestration of customer-owned distributed energy resources (DER) such as rooftop solar, batteries and major appliances to participate in a future energy market.
",$8.55m,$35.44m,"Electricity Networks Corporation (Western Power)","Advancing Renewables Program",02/07/2021,"Perth, Western Australia","Electricity Generation and Retail Corporation (Synergy), AEMO, University of Technology Sydney, University of Western Australia, University of Tasmania ",Past
"Evie Networks Future Fuels Public Fast Charging",https://arena.gov.au/projects/evie-networks-future-fuels-public-fast-charging/,"Electric vehicles","The Evie Networks Future Fuels Public Fast Charging project working with project partners Tritium and ActewAGL (ACT), has delivered 140 fast charging stations across eight regions in Australia. Several of these sites allowed for amalgamation of nearby site locations to provide more of a charging hub rather than an isolated site. The amalgamated site were part of the reason these charging stations provide over 21,000kW of charging capacity around Australia.
",$8.85m,$34.15m,"Evie Networks","Future Fuels Fund (Round 1)",01/06/2021,"Australian Capital Territory, New South Wales, Northern Territory, Queensland, South Australia, Tasmania, Victoria, Western Australia","ActewAGL (ACT only) ",Past
"ENGIE Future Fuels Public Fast Charging",https://arena.gov.au/projects/engie-future-fuels-public-fast-charging/,"Electric vehicles","Across Melbourne, Brisbane, Sydney and Adelaide, the Exploren program delivered 55 fast-charging sites with a combined 11.15 MW of installed capacity and 173 charging ports, significantly expanding public access to high-powered EV charging.
The projects increased charger availability in major metropolitan areas, lifted the proportion of residents within 10km of a high-powered charger, and demonstrated strong network performance with high reliability.
While Sydney delivered fewer sites than originally planned due to market competition, Melbourne and Brisbane exceeded their capacity targets, helping the overall program reach aggregate outcome goals.
",$6.85m,$23.01m,"Exploren - EVE Assets","Future Fuels Fund (Round 1)",01/06/2021,"New South Wales, Queensland, South Australia, Victoria","JET Charge, EVSE  ",Past
"Ampol Addressing Blackspots Fast Charging",https://arena.gov.au/projects/ampol-addressing-blackspots-fast-charging-project/,"Electric vehicles","The Ampol Addressing Blackspots Fast Charging project will leverage its branded retail network nationally to deliver over 100 fast charging stations across four regions in Australia.
",$7.05m,$26.81m,"Ampol Australia Petroleum","Future Fuels Fund (Round 1)",01/06/2021,"New South Wales, Queensland, Victoria, Western Australia",None,Past
"NRMA - Future Fuels Public Fast Charging",https://arena.gov.au/projects/chargefox-future-fuels-public-fast-charging-project/,"Electric vehicles","The NRMA (formerly Chargefox) Future Fuels Public Fast Charging project will deliver 16 fast charging stations across Adelaide and Perth.
",$1.4m,$3.77m,NRMA,"Future Fuels Fund (Round 1)",01/06/2021,"South Australia, Western Australia",None,Past
"Hobart Electric Highway Tasmania Fast Charger Network",https://arena.gov.au/projects/hobart-electric-highway-tasmania-fast-charger-network-project/,"Electric vehicles","Electric Highway Tasmania (EHT), worked with project partners Chargefox and Kingborough Council, to deliver 5 electric vehicle (EV) fast charging stations in Hobart.
",$400k,$1.05m,"Electric Highway Tasmania (EHT)","Future Fuels Fund (Round 1)",01/06/2021,Tasmania,"Chargefox, Kingborough Council  ",Past
"Kidston Pumped Hydro Energy Storage",https://arena.gov.au/projects/kidston-pumped-hydro-energy-storage/,"Hydropower / Pumped Hydro Energy Storage","The Genex Kidston Pumped Hydro Energy Storage (PHES) project will develop a pumped hydro energy storage facility to produce approximately 250MW / 2,000MWh of dispatchable (baseload) power for export to the electricity grid.
",$47m,$777m,"Kidston Hydro Project Co","Advancing Renewables Program",01/04/2021,"Lyndhurst, Queensland","McConnell Dowell and John Holland, EnergyAustralia, Northern Australia Infrastructure Fund, J-Power",Current
"RayGen Solar Power Plant Demonstration",https://arena.gov.au/projects/raygen-solar-power-plant-demonstration/,"Concentrated solar thermal","The RayGen Solar Power Plant Demonstration demonstrated and validated the performance and cost of RayGen’s innovative solar-plus-storage technology
",$15m,$30m,"RayGen Resources","Advancing Renewables Program",25/03/2021,"Carwarp, Victoria","AGL ",Past
"Rio Tinto Pacific Operations Hydrogen Program",https://arena.gov.au/projects/rio-tinto-pacific-operations-hydrogen-program/,"Hydrogen energy","The Rio Tinto Pacific Operations Hydrogen Program is a technical feasibility study investigating the use of renewable hydrogen to partially decarbonise alumina refining at Rio Tinto’s Yarwun alumina refinery in Gladstone, Queensland.
",$579k,$1.16m,"Rio Tinto Aluminium Limited","Advancing Renewables Program",25/03/2021,"Queensland, Yarwun",None,Past
"Australian Energy Council Double-Sided Causer Pays Study",https://arena.gov.au/projects/australian-energy-council-double-sided-causer-pays-study/,"System security and reliability","This project is a desktop study of double-sided causer pays (DSCP) as a long-term incentive mechanism to improve frequency control.
",$164k,$414k," Australian Energy Council","Advancing Renewables Program",23/03/2021,Victoria,"Infigen Energy, CS Energy",Past
"United Energy Low Voltage Battery Trial",https://arena.gov.au/projects/united-energy-low-voltage-battery-trial/,"Battery storage","The United Energy Low Voltage Battery Trial investigated the technical and commercial feasibility of using pole-mounted batteries connected to the low voltage (LV) network to manage constraints and increase the hosting capacity of renewables.
",$4m,$14.35m,"United Energy","Advancing Renewables Program",01/03/2021,"Mount Waverly, Victoria","Simply Energy",Past
"Canadian Solar Connection Studies at Carwarp Solar Farm",https://arena.gov.au/projects/canadian-solar-connection-studies-at-carwarp-solar-farm/,"Battery storage","Canadian Solar will undertake studies to determine the feasibility of using grid forming inverters to address grid connection challenges in Western Victoria at the proposed 150 MW Carwarp Solar Farm.
",$270k,$615k,"Canadian Solar","Advancing Renewables Program",22/02/2021,"Carwarp, Victoria",None,Past
"Mechanical Vapour Recompression for Low Carbon Alumina Refining",https://arena.gov.au/projects/mechanical-vapour-recompression-for-low-carbon-alumina-refining/,"Renewables for industry","The Alcoa Mechanical Vapour Recompression (MVR) for Low Carbon Alumina Refining project will seek to demonstrate the feasibility of integrating MVR, powered by renewable energy, to electrify steam production in the alumina refining process thus displacing fossil fuelled boiler steam. Alumina is the feedstock for aluminium production.
",$0k,$28.21m,"Alcoa of Australia Limited","Advancing Renewables Program",18/01/2021,"Wagerup, Western Australia",,Past
"Centennial Pumped Hydro Energy Storage",https://arena.gov.au/projects/centennial-pumped-hydro-energy-storage/,"Hydropower / Pumped Hydro Energy Storage","The Centennial Pumped Hydro Energy Storage project will perform a series of technical studies and trials for the potential deployment of a nominal 600 MW pumped hydro energy storage (PHES) system using underground coal mining voids.
",$364k,$1.46m,"Centennial Coal Company","Advancing Renewables Program",07/01/2021,"Fassifern, New South Wales","NSW Government, Byrnes Geotechnical, University of Newcastle, GHD",Past
"Project MATCH",https://arena.gov.au/projects/project-match/,"Distributed energy resources","This project aimed to better understand the behaviour of distributed energy resources (DER) as it relates to power system security. The University of New South Wales conducted a study to investigate DER behaviour during power system disturbances. 
",$981k,$2.19m,"University of New South Wales","Advancing Renewables Program",01/01/2021,"Kensington, New South Wales","AEMO, Solar Analytics",Past
"Australian Industry ETI Delivery Stage Project",https://arena.gov.au/projects/australian-industry-eti-delivery-stage-project/,"Renewables for industry","The Australian Industry ETI (Energy Transitions Initiative) Delivery Stage Project aims to accelerate action by Australian industry towards net zero emissions in hard-to-abate sectors by 2050, while managing the transition to thrive in a decarbonised global economy.
",$2m,$4m,"Monash University (ClimateWorks Australia)","Advancing Renewables Program",01/01/2021,"Melbourne, Victoria","Climate-KIC Australia, Rocky Mountain Institute, CSIRO, Energy Transitions Commission, Bloomberg NEF",Past
"Jemena Dynamic Electric Vehicle Charging Trial",https://arena.gov.au/projects/jemena-dynamic-electric-vehicle-charging-trial/,"Electric vehicles","This Jemena Dynamic Electric Vehicle Charging Trial is a residential electric vehicle trial involving 176 EVs in the ACT, Victoria &amp; Tasmania.
",$1.55m,$3.38m,"Jemena Electricity Networks","Advancing Renewables Program",23/12/2020,"Australian Capital Territory, Tasmania, Victoria","AusNet Services, Evoenergy, Jet Charge, Tasmanian Networks (TasNetworks), United Energy",Past
"DER 2.0: Customer Focused Design for DER Participation",https://arena.gov.au/projects/der-2-0-customer-focused-design-for-der-participation/,"Distributed energy resources","This project aims to understand how customers can be used to reshape Distributed Energy Resources (DER) orchestration program design to increase participation.
",$446k,$943k,UPowr,"Advancing Renewables Program",22/12/2020,"New South Wales, Victoria",None,Past
"Relectrify Second-Life Battery Trial",https://arena.gov.au/projects/relectrify-second-life-battery-trial/,"Battery storage","The Relectrify Second-Life Battery Trial developed and demonstrated a second-life battery product which showcases Relectrify’s advanced Battery Management System and inverter solution (BMS+Inverter).
",$285k,$3.07m,"Relectrify Holdings","Advancing Renewables Program",21/12/2020,"Melbourne, Victoria","None  ",Past
"Project SHIELD - Synchronising Heterogeneous Information to Evaluate Limits for DNSP",https://arena.gov.au/projects/project-shield/,"Distributed energy resources","Project SHIELD sought to develop software aggregating data from a range of sources to help distribution network service providers (DNSPs) manage distributed energy resources (DER) in low voltage networks.
",$2.1m,$4.77m,"Redback Operations Pty Ltd trading as Luceo Energy","Advancing Renewables Program",21/12/2020,"New South Wales, Queensland","The University of Queensland, Energy Queensland, Essential Energy, GridQube",Past
"Metro Advertising Revenue Funded Electric Vehicle Charging Trial",https://arena.gov.au/projects/metro-advertising-revenue-funded-electric-vehicle-charging-trial/,"Electric vehicles","The Metro Advertising Revenue Funded Electric Vehicle Charging Trial will deploy 21 of Jolt’s Electric Vehicle (EV) charging and advertising panels in car parks and public spaces in Campbelltown City Council, Charles Sturt Council, Marion Council and Port Adelaide Enfield Council Adelaide, South Australia.
",$984k,$2m,"Jolt Charge","Advancing Renewables Program",13/12/2020,"Adelaide, South Australia",None,Past
"Co-located Vanadium Flow Battery Storage and Solar",https://arena.gov.au/projects/co-located-vanadium-flow-battery-storage-and-solar/,"Battery storage","The Co-located Vanadium Flow Battery Storage and Solar project by Yadlamalka Energy is an innovative renewable energy project comprising of a grid connected vanadium flow battery storage system (VFB) alongside solar PV, a first of its kind in Australia, and aims to demonstrate the technical and commercial viability of VFB to provide energy and frequency control ancillary services (FCAS).
",$5.69m,$23.29m,"Yadlamalka Energy","Advancing Renewables Program",23/11/2020,"Neuroodla, South Australia","Invinity Energy Systems, Habitat Energy ",Past
"AGL Electric Vehicle Orchestration Trial",https://arena.gov.au/projects/agl-electric-vehicle-orchestration-trial/,"Battery storage","The AGL Electric Vehicle Orchestration Trial project is a large-scale electric vehicle (EV) charging orchestration trial comprising 300 EVs across Queensland, New South Wales, Victoria and South Australia.
",$2.33m,$7.69m,"AGL Energy Services","Advancing Renewables Program",17/11/2020,"New South Wales, Queensland, South Australia, Victoria",None,Past
"Resilient Wind Energy for Telecommunication Sites",https://arena.gov.au/projects/resilient-wind-energy-for-telecommunication-sites/,"Wind energy","The project will deploy 11 innovative small wind turbine systems, including 10 at off-grid telecommunications sites across Australia.
",$341k,$971k,"Diffuse Energy","Advancing Renewables Program",11/11/2020,"New South Wales, Williamtown","Positive Off-Grid Solutions, Vertical Telecoms, The University of Newcastle",Past
"Horizon Power Denham Hydrogen Demonstration",https://arena.gov.au/projects/horizon-power-denham-hydrogen-demonstration/,"Hydrogen energy","The Horizon Power Denham Hydrogen Demonstration project will demonstrate the ability to incorporate renewable hydrogen into a microgrid with solar and diesel in Denham, Western Australia.
",$2.57m,$8.9m,"Horizon Power","Advancing Renewables Program",05/11/2020,"Denham, Western Australia",None,Past
"Malabar Biomethane Injection Project",https://arena.gov.au/projects/malabar-biomethane-injection-project/,"Bioenergy / Energy from waste","The Malabar Biomethane Injection Project will demonstrate the process of upgrading biogas produced from the anaerobic digestion process at Sydney Water’s Malabar wastewater treatment plant to biomethane for injection into the gas distribution network.
",$5.9m,$12.86m,"Jemena Limited","Advancing Renewables Program",04/11/2020,"Malabar, New South Wales","Sydney Water Corporation",Past
"Brimbank Aquatic and Wellness Centre Integrated Energy System",https://arena.gov.au/projects/brimbank-aquatic-and-wellness-centre-integrated-energy-system/,"Renewables in buildings","The Brimbank Aquatic and Wellness Centre Integrated Energy System project is a carbon neutral, renewable energy powered aquatic centre in western Melbourne. 
Need
Municipal aquatic centres are the highest energy consuming and greenhouse gas emitting facilities managed by councils. Heating, ventilation and cooling (HVAC) is typically the largest component of energy use at these sites, which have historically relied upon both electricity and natural gas as fuel sources.
Brimbank City Council, along with many other councils across Australia, are adopting commitments to reach net zero emissions by 2030 or sooner. Under these commitments, the use of natural gas and fossil-fuel sourced power to run council facilities is no longer tenable.
To transition away from gas, councils are looking to convert their facilities to an ‘all-electric’ equipment model, which can use greater amounts of on-site renewable energy and source any residual power needs from off-site renewable energy facilities (through power purchase agreements).
The main all-electric alternative to gas heating in aquatic centres is heat-pump technology. This technology can provide both heating and cooling. Heat pump use in cooler climates (such as Victoria and Tasmania) has been technically challenging during cooler months when the performance of air-source heat pumps decline.
",$1.53m,$8.1m,"Brimbank City Council","Advancing Renewables Program",27/10/2020,"Keilor Downs, Victoria","None  ",Past
"TransGrid Wallgrove Battery",https://arena.gov.au/projects/transgrid-wallgrove-battery/,"Battery storage","The TransGrid Wallgrove Battery will build, test and operate a 50 MW / 75 MWh lithium-ion battery at the Wallgrove substation in western Sydney. The project will use Tesla batteries and demonstrate its innovative synthetic inertia product known as “Virtual Machine Mode”. TransGrid has entered into an agreement with Infigen for use of the 50MW / 75MWh battery for market services.
",$10.14m,$65.46m,TransGrid,"Advancing Renewables Program",02/10/2020,"New South Wales, Wallgrove","Tesla Motors Australia, Infigen Energy ",Past
"Next-Gen Selective-Emitters for Commercial PERC and TOPCon Solar Panels",https://arena.gov.au/projects/next-gen-selective-emitters-for-commercial-perc-and-topcon-solar-panels/,"Solar energy","This project aims to improve the cost-effectiveness of current mass-market solar panels (PERC and TOPCon) by improving cell efficiencies.
",$1.23m,$4.66m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",19/09/2020,"Kensington, New South Wales","Suzhou Talesun Solar Technologies Co., Ltd Trina Solar Ltd",Past
"Electrically-Enhanced Recycling Process for EoL Si PV-Cells",https://arena.gov.au/projects/electrically-enhanced-recycling-process-for-eol-si-pv-cells/,"Solar energy","The project will develop a high-temperature metal extraction (pyrometallurgical) process that allows high volume and throughput recycling of end-of-life (EOL) silicon (Si) solar PV cells.
",$454k,$1m,"Swinburne University of Technology","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Hawthorn, Victoria","CSIRO, Upala, Environstream Australia",Past
"Efficient, Low-Cost, Eco-Friendly Solar PV Recycling Technology",https://arena.gov.au/projects/efficient-low-cost-eco-friendly-solar-pv-recycling-technology/,"Solar energy","This project will develop a highly efficient and low-cost recycling system to recover valuable metals and silicon from end-of-life photovoltaic panels.
",$1.36m,$7.23m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","Azure Mining Technology, GrapheneX, Visy Recycling Australia, Providences Assets, JinkoSolar, Trina Solar, Central South University, DuPont, Research and Development Center China, Silicon Corporation (ENFI Group)",Past
"Closed-Loop Recycling and Remanufacturing EoL Solar PV",https://arena.gov.au/projects/closed-loop-recycling-and-remanufacturing-eol-solar-pv/,"Solar energy","Developing economically-viable technologies to recycle solar modules and reuse recycled materials to remanufacture &#8220;new&#8221; PV modules.
",$1.56m,$6.05m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","LONGi Green Energy Technology, Sino-American Silicon Products, PVTECH Global, Korean Institute of Energy Research",Past
"Durable Silicon Perovskite Tandem Photovoltaics",https://arena.gov.au/projects/durable-silicon-perovskite-tandem-photovoltaics/,"Solar energy","This project aims to improve the durability of perovskites for silicon (Si)-perovskite tandem photovoltaics for the technology to be cost effective.
",$987k,$2.63m,"University of Sydney","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Camperdown, New South Wales","Australian National University, Macquarie University, University of New South Wales, AGP America S.A",Past
"Triple Junction Silicon Perovskite Tandem Photovoltaics",https://arena.gov.au/projects/triple-junction-silicon-perovskite-tandem-photovoltaics/,"Solar energy","This project aims to demonstrate high efficiency triple-junction silicon (Si)-perovskite-perovskite solar cells and conduct techno-economic-analysis identifying research directions for cell design and material choice.
",$1.49m,$3.89m,"University of Sydney","Advancing Renewables Program",18/09/2020,"Camperdown, New South Wales","Australian National University, Macquarie University, University of New South Wales, Shenzhen Heiking PV Technology Pty Ltd",Past
"Antimony Chalcogenide: Top Cell Alternative for Silicon Tandem Cells",https://arena.gov.au/projects/antimony-chalcogenide-top-cell-alternative-for-silicon-tandem-cells/,"Solar energy","This project aims to reduce the cost of silicon (Si) based tandem solar cells by developing an earth-abundant, restriction of hazardous substances (RoHS)-compliant antimony chalcogenide top cell.
",$693k,$2.91m,"University of New South Wales","Research and Development",18/09/2020,"Kensington, New South Wales","University of Science and Technology of China, Eastern China Normal University, Open Instrument, California Technology Centre, First Solar, The University of Alabama, Jinko Solar Holding, Daeyeon C&I Co.",Past
"Vapour Deposited Passivating Contacts for High Efficiency Silicon Solar Cells",https://arena.gov.au/projects/vapour-deposited-passivating-contacts-for-high-efficiency-silicon-solar-cells/,"Solar energy","This project commercialises an ANU-patented technology enabling simpler, safer and cheaper fabrication of next-generation silicon solar cells.
",$404k,$1.2m,"Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","Swiss Center for Electronics and Microtechnology (CSEM)",Past
"Substitution of Niche-Market PV Production Tools with Cost-Effective Consumer-Electronics",https://arena.gov.au/projects/substitution-of-niche-market-pv-production-tools-with-cost-effective-consumer-electronics/,"Solar energy","This project aims to reduce the cost of solar photovoltaic (PV) manufacturing by using low-cost consumer electronics as drop-in replacements to optimise conventional production line tools.
",$420k,$1.62m,"Macquarie University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Macquarie Park, New South Wales","University of New South Wales, Soleritas, Hanwha Q Cells GmbH",Past
"Monolithic Si/Perovskite Tandem Solar Cell: Towards High-Efficiency at Low-Cost",https://arena.gov.au/projects/monolithic-si-perovskite-tandem-solar-cell-towards-high-efficiency-at-low-cost/,"Solar energy","This project will develop innovative concepts and advanced designs towards commercially-viable silicon/perovskite tandem solar cells.
",$1.13m,$4.11m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","University of Melbourne, Risen Energy, King Abdullah University of Science and Technology, Swiss Federal Institute of Technology Lausanne",Past
"Heterocontact-Polysilicon Hybrid Interdigitated Back Contact Solar Cells",https://arena.gov.au/projects/heterocontact-polysilicon-hybrid-interdigitated-back-contact-solar-cells/,"Solar energy","The project aims to develop Heterocontact-Polysilicon Hybrid interdigitated back contact (IBC) solar cells with efficiency of 24% and above.
",$507k,$1.59m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","Jinko Solar",Past
"Reduced Solar Module Temperature",https://arena.gov.au/projects/reduced-solar-module-temperature/,"Solar energy","The Reduced Solar Module Temperature will demonstrate methods to change solar panel design to lower operating temperatures in the field. Lower operating temperatures will lead to increased power output and improve system lifetime.
",$1.76m,$5.8m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"New South Wales, Sydney","5B Australia, YCGC, 3M Electrical Markets Division, Flat Grass Group, Canadian Solar, JA Solar, Jinko Solar, Longi Solar Technology",Past
"Lower Solar PV Cost by a Combination of Luminescence Images and Machine-Learning",https://arena.gov.au/projects/lower-solar-pv-cost-by-a-combination-of-luminescence-images-and-machine-learning/,"Solar energy","This project aims to develop machine learning algorithms to manufacture solar cells cheaper and with less manufacturer faults.
",$694k,$2.81m,"University of New South Wales","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Kensington, New South Wales","BT Imaging, Jinko Solar",Past
"Stable Perovskite Modules Under Real-World Conditions",https://arena.gov.au/projects/stable-perovskite-modules-under-real-world-conditions/,"Solar energy","This project aims to improve the durability and reliability of perovskite solar modules under partial shading conditions.
",$735k,$2.12m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","&Eacute;cole Polytechnique F&eacute;d&eacute;rale de Lausanne",Past
"Multifunctional Dielectric Layers Enabling Production of High-Efficiency Solar Cells",https://arena.gov.au/projects/multifunctional-dielectric-layers-enabling-production-of-high-efficiency-solar-cells/,"Solar energy","This project will investigate the use of novel multifunctional dielectric layers to simplify processing of high-efficiency silicon solar cells.
",$455k,$1.28m,"The Australian National University","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Australian Capital Territory, Canberra","Eindhoven University of Technology (Netherlands), SunPower Corporation (USA)",Past
"New Materials-Singlet Fission Enhanced Silicon Solar Cells",https://arena.gov.au/projects/new-materials-singlet-fission-enhanced-silicon-solar-cells/,"Solar energy","The project aims to demonstrate effective use of high energy photons to improve solar cell efficiency by using multiple exciton generation (MEG).
",$1.29m,$2.92m,"The University of Melbourne","Addressing Solar PV End-of-Life Issues and Lowering Solar PV Cost",18/09/2020,"Parkville, Victoria","The University of Queensland, The Australian National University",Past
"Tesla Virtual Power Plant",https://arena.gov.au/projects/tesla-virtual-power-plant/,"Battery storage","With the support of the South Australian Government, Tesla and electricity retailer Energy Locals are developing South Australia’s Virtual Power Plant (SA VPP) &#8211; a network of potentially 50,000 solar and Tesla Powerwall home battery systems across South Australia forming the world’s largest VPP.
",$8.2m,$64.17m,"Tesla Motors Australia","Advancing Renewables Program",25/08/2020,"South Australia","Energy Locals, SA Power Networks, Clean Energy Finance Corporation (CEFC), Government of South Australia, South Australian Housing Trust",Past
"AEMO - Project EDGE (Energy Demand and Generation Exchange)",https://arena.gov.au/projects/project-edge-energy-demand-and-generation-exchange/,"System security and reliability","Project EDGE (Energy Demand and Generation Exchange) was a multi- year, 320+ premises project to demonstrate an off-market, proof-of-concept Distributed Energy Resource (DER) Marketplace that would efficiently operate DER to provide both wholesale and local network services within the constraints of a specific area of the power distribution grid.
",$12.92m,$28.03m,"Australian Energy Market Operator Limited (AEMO)","Advancing Renewables Program",03/08/2020,"Melbourne, Victoria","Ausnet Electricity Services, Mondo Power, University of Melbourne",Past
"Alice Springs Future Grid Project",https://arena.gov.au/projects/alice-springs-future-grid-project/,"Solar energy","The Alice Springs Future Grid project focused on addressing barriers to further renewable energy penetration in the local electricity network. 
",$2.17m,$10.23m,"Desert Knowledge Research Institute","Advancing Renewables Program",31/07/2020,"Alice Springs, Northern Territory","Desert Knowledge Australia, Power and Water Corporation, Ekistica, Power Generation Corporation t/a Territory Generation, CSIRO, Arid Lands Environment Centre Inc, Power Retail Corporation t/a Jacana Energy",Past
"Origin Energy Electric Vehicles Smart Charging Trial",https://arena.gov.au/projects/origin-energy-electric-vehicles-smart-charging-trial/,"Electric vehicles","A large-scale trial to demonstrate the use of smart chargers to manage residential and fleet electric vehicle (EV) charging.
",$838k,$2.92m,"Origin Energy Ltd","Advancing Renewables Program",28/07/2020,"Australian Capital Territory, New South Wales, Queensland, South Australia, Victoria","United Energy Distribution, Ausgrid Operator Partnership, Nissan Motor Co. (Australia),  Hyundai Motor Company Australia, Custom Service Leasing, Schneider Electric (Australia), GreenFlux Assets B.V",Past
"SA Power Networks Flexible Exports for Solar PV Trial",https://arena.gov.au/projects/sa-power-networks-flexible-exports-for-solar-pv-trial/,"Solar energy","This SA Power Networks Flexible Exports for Solar PV Trial project aims to produce a flexible connection option for solar PV systems, so customers don’t have to limit electricity export to permanent zero or near-zero in congested areas.
",$2.08m,$4.84m,"SA Power Networks","Advancing Renewables Program",01/07/2020,"Richmond, South Australia","AusNet Services, SwitchDin, Fronius, SMA, SolarEdge",Past
"Central West NSW Energy Zone Detailed Scoping Study",https://arena.gov.au/projects/central-west-nsw-energy-zone-detailed-scoping-study/,"System security and reliability","TransGrid will conduct a detailed feasibility study to develop Australia’s first Renewable Energy Zone (REZ) in Central-West Orana, New South Wales (NSW).
",$5m,$16.22m,TransGrid,"Advancing Renewables Program",23/06/2020,"Central-West Orana, New South Wales","NSW Department of Planning, Industry and Environment",Past
"Stability Enhancing Measures for Weak Grids Study",https://arena.gov.au/projects/stability-enhancing-measures-for-weak-grids/,"System security and reliability","Researchers at Monash University will conduct a desktop study to explore issues and strategies associated with connecting inverter-connected plants such as batteries, solar, and wind into weak electricity grids.
",$559k,$1.36m,"Monash University","Advancing Renewables Program",18/06/2020,"Clayton, Victoria","AusNet Services, AEMO, ABB Australia",Past
"Realising Electric Vehicle-to-Grid Services",https://arena.gov.au/projects/realising-electric-vehicle-to-grid-services/,"Electric vehicles","The Realising Electric Vehicle-to-Grid Services project seeks to unlock the full economic and grid benefits of vehicle-to-grid (V2G) services in Australia.
",$2.73m,$7.22m,"Icon Retail Investments LimitedAGL ACT Retail Investments (trading as ActewAGL Retail)","Advancing Renewables Program",16/06/2020,"Australian Capital Territory, Civic","Australian National University, The ACT Government, SG Fleet Australia, JET Charge, Nissan Motor Co. (Australia), Icon Distribution Investments Limited, Jemena Networks (ACT) (as Evoenergy)",Past
"Project GERI Feasibility Study",https://arena.gov.au/projects/project-geri-feasibility-study/,"Hydrogen energy","The Geraldton Export-Scale Renewable Investment (GERI) Feasibility Study will explore the potential for developing a green hydrogen and ammonia production supply chain.
",$1.58m,$4.29m,"BP Australia Pty Ltd","Advancing Renewables Program",15/04/2020,"Geraldton, Western Australia","GHD Group Limited",Past
"Gridded Renewables Nowcasting Demonstration over South Australia",https://arena.gov.au/projects/gridded-renewables-nowcasting-demonstration-over-south-australia/,"System security and reliability","Solcast will develop a proof of concept demonstration of a forecasting tool which will track and predict renewable energy output over South Australia in real time.
",$994k,$2.91m,"Solar and Storage Modelling Pty Ltd","Advancing Renewables Program",30/03/2020,"South Australia","AEMO, The Weather Company, Energy Australia, SA Power Networks and TESLA Asia Pacific",Past
"Impact and Management of Harmonic Distortion for Large Renewable Generators",https://arena.gov.au/projects/impact-and-management-of-harmonic-distortion-for-large-renewable-generators/,"System security and reliability","This project will investigate the impact and management of harmonic distortion at large renewable energy farms.
",$146k,$304k,"The University of Wollongong","Advancing Renewables Program",30/03/2020,"New South Wales, Wollongong","Edify Energy, ElectraNet, Essential Energy, Neoen Australia, RES Australia, Endeavour Energy, Transgrid, Vestas",Past
"Energy from Waste Through Pyrolysis",https://arena.gov.au/projects/energy-from-waste-through-pyrolysis/,"Bioenergy / Energy from waste","The project involves the design, build and operation of a 1.5 tonne/hour pre-commercial demonstration energy-from-waste (EfW) plant located in the Shire of Collie in Western Australia.
",$4.3m,$9.8m,Renergi,"Advancing Renewables Program",30/03/2020,"Western Australia","Shire of Collie, South West Development Commission",Past
